Timestamp,Hey guys! I just saw that a penguin escaped.,I'm going out with the guys. You can deal with the penguins.,We're going to need to hire a Python guy to deal with our penguin problems.,This would never have happened if the Java guys were here.,That penguin is such a good guy,Those guys dealt with the penguin emergency so professionally.,I met a great Erlang guy the other day who knows how to deal with thorny penguin issues,Do you identify as a woman?,Unnamed: 10,???
2013-12-26 12:12:53,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,Milwaukee,
2013-12-26 12:13:04,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 12:13:04,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,UK,
2013-12-26 12:13:26,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Berlin,
2013-12-26 12:13:32,gender neutral,just men,just men,just men,gender neutral,just men,just men,Yes,New York City,
2013-12-26 12:13:57,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,USA,
2013-12-26 12:13:58,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Madison,
2013-12-26 12:14:05,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,UK,
2013-12-26 12:14:12,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Alabama,
2013-12-26 12:14:34,gender neutral,just men,gender neutral,gender neutral,just men,just men,gender neutral,No,San Francisco,
2013-12-26 12:14:56,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,slc,
2013-12-26 12:14:58,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Ireland ,
2013-12-26 12:15:01,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Sebastopol,
2013-12-26 12:15:16,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Washington DC,
2013-12-26 12:15:19,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Amsterdam,
2013-12-26 12:15:23,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,,
2013-12-26 12:15:23,gender neutral,just men,just men,gender neutral,gender neutral,gender neutral,just men,No,New York,
2013-12-26 12:15:56,gender neutral,just men,just men,just men,gender neutral,just men,just men,No,Scottsdale,
2013-12-26 12:15:56,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,Yes,Texas,
2013-12-26 12:15:56,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,Houston,
2013-12-26 12:16:20,gender neutral,just men,just men,just men,just men,just men,just men,No,Cambridge,
2013-12-26 12:16:26,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,Yes,Montreal,
2013-12-26 12:16:27,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,ireland,
2013-12-26 12:16:37,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,Va USA ,
2013-12-26 12:16:38,just men,just men,just men,just men,just men,just men,just men,No,Portland,
2013-12-26 12:16:42,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,San Francisco,
2013-12-26 12:16:51,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,United States,
2013-12-26 12:17:11,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Olympia,
2013-12-26 12:17:24,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,London,
2013-12-26 12:17:36,gender neutral,just men,just men,just men,just men,just men,just men,No,Anchorage,
2013-12-26 12:17:38,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Phoenix,
2013-12-26 12:17:46,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Austin,
2013-12-26 12:18:00,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 12:18:10,gender neutral,just men,gender neutral,just men,just men,just men,just men,No,Portland,
2013-12-26 12:18:20,gender neutral,gender neutral,just men,just men,just men,gender neutral,just men,No,London,
2013-12-26 12:18:24,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Uk,
2013-12-26 12:18:28,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,boston,
2013-12-26 12:18:30,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Denmark,
2013-12-26 12:18:31,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Slovenia,
2013-12-26 12:18:36,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,nyc,
2013-12-26 12:18:42,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,just men,No,South Africa,
2013-12-26 12:19:20,gender neutral,just men,just men,gender neutral,gender neutral,gender neutral,just men,Yes,Philadelphia,
2013-12-26 12:19:24,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,,
2013-12-26 12:19:27,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 12:19:34,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Montreal via Massachusetts,
2013-12-26 12:19:38,gender neutral,just men,gender neutral,just men,gender neutral,just men,gender neutral,No,Turkey,
2013-12-26 12:19:39,gender neutral,just men,just men,just men,gender neutral,just men,just men,No,Seattle,
2013-12-26 12:19:41,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,,
2013-12-26 12:19:44,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Paris,
2013-12-26 12:19:46,gender neutral,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 12:19:50,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,just men,No,Philadelphia,
2013-12-26 12:20:23,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Michigan,
2013-12-26 12:20:27,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,DC,
2013-12-26 12:20:52,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Seattle,
2013-12-26 12:20:58,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,just men,No,SF,
2013-12-26 12:20:59,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Bay Area,
2013-12-26 12:21:07,gender neutral,gender neutral,gender neutral,gender neutral,just men,gender neutral,just men,No,Oxford,
2013-12-26 12:21:20,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Wadsworth,
2013-12-26 12:21:36,gender neutral,just men,just men,just men,just men,just men,just men,No,New York City,
2013-12-26 12:21:46,just men,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 12:22:10,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,USA,
2013-12-26 12:22:40,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 12:22:43,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 12:22:50,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,San Francisco,
2013-12-26 12:23:02,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Utah,
2013-12-26 12:23:07,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Sf,
2013-12-26 12:23:26,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,London,
2013-12-26 12:23:43,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,Amsterdam,
2013-12-26 12:24:08,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,San Francisco,
2013-12-26 12:24:15,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,AZ,
2013-12-26 12:24:19,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,No,Baltimore,
2013-12-26 12:24:50,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,San Jose,
2013-12-26 12:24:50,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Seattle,
2013-12-26 12:24:52,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Austin TX,
2013-12-26 12:25:19,gender neutral,just men,just men,just men,just men,just men,just men,No,Olympia,
2013-12-26 12:25:25,gender neutral,just men,just men,just men,just men,just men,just men,No,Oakland CA,
2013-12-26 12:25:38,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Chicago,
2013-12-26 12:26:13,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,Uk,
2013-12-26 12:26:15,just men,just men,just men,just men,just men,just men,just men,Yes,Seattle,
2013-12-26 12:26:16,gender neutral,gender neutral,gender neutral,gender neutral,just men,gender neutral,just men,No,Poland,
2013-12-26 12:26:22,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,No,,
2013-12-26 12:26:42,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,San Francisco,
2013-12-26 12:26:50,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,US,
2013-12-26 12:26:52,gender neutral,gender neutral,just men,just men,just men,gender neutral,just men,No,London,
2013-12-26 12:26:54,gender neutral,just men,just men,gender neutral,just men,just men,just men,No,Toronto,
2013-12-26 12:26:55,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,San Francisco,
2013-12-26 12:27:02,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,AL,
2013-12-26 12:27:15,just men,just men,just men,just men,just men,just men,just men,Yes,,
2013-12-26 12:27:23,gender neutral,gender neutral,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,Berkeley,
2013-12-26 12:27:40,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Boston,
2013-12-26 12:27:42,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Nova Scotia,
2013-12-26 12:27:43,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 12:27:45,just men,just men,just men,just men,just men,just men,just men,No,Germany,
2013-12-26 12:28:14,just men,just men,just men,just men,just men,just men,just men,Yes,SF,
2013-12-26 12:28:32,gender neutral,gender neutral,gender neutral,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 12:28:54,gender neutral,gender neutral,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,London,
2013-12-26 12:28:59,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,SF,
2013-12-26 12:29:20,gender neutral,just men,just men,just men,gender neutral,just men,just men,Yes,,
2013-12-26 12:30:15,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Delhi,
2013-12-26 12:30:22,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 12:30:23,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 12:30:25,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Uk,
2013-12-26 12:30:46,just men,just men,just men,just men,just men,just men,just men,Yes,ontario canada,
2013-12-26 12:30:48,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Vancouver,
2013-12-26 12:31:19,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,Silicon Valley,
2013-12-26 12:31:31,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Cambridge,
2013-12-26 12:31:45,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,just men,Yes,NJ,
2013-12-26 12:31:48,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,just men,Yes,NJ,
2013-12-26 12:31:57,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Chicago,
2013-12-26 12:32:04,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Somerville,
2013-12-26 12:32:05,gender neutral,just men,just men,just men,just men,just men,just men,No,Austria,
2013-12-26 12:32:36,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,USA,
2013-12-26 12:32:37,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Poland,
2013-12-26 12:33:10,gender neutral,gender neutral,just men,just men,just men,gender neutral,just men,Yes,Madison,
2013-12-26 12:33:39,gender neutral,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 12:34:13,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 12:34:14,gender neutral,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 12:34:24,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 12:34:52,gender neutral,just men,just men,just men,just men,just men,just men,Yes,,
2013-12-26 12:34:59,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Nebraska,
2013-12-26 12:35:05,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,San Francisco,
2013-12-26 12:35:05,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,NYC,
2013-12-26 12:35:18,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,San Francisco,
2013-12-26 12:35:19,gender neutral,just men,just men,just men,just men,just men,just men,Yes,London,
2013-12-26 12:35:24,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,London,
2013-12-26 12:35:26,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Olympia,
2013-12-26 12:35:33,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Maryland USA ,
2013-12-26 12:36:07,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,London,
2013-12-26 12:36:21,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Toronto,
2013-12-26 12:36:22,just men,just men,just men,just men,just men,just men,just men,Yes,London,
2013-12-26 12:36:55,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 12:37:22,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Portland,
2013-12-26 12:37:33,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,France,
2013-12-26 12:37:34,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Boston,
2013-12-26 12:37:55,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,San Francisco,
2013-12-26 12:37:55,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,nyc,
2013-12-26 12:38:01,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,Yes,Chicago,
2013-12-26 12:38:14,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,USA (from Australia),
2013-12-26 12:38:43,just men,just men,just men,just men,just men,just men,just men,No,Germany,
2013-12-26 12:38:45,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Boston,
2013-12-26 12:39:09,gender neutral,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 12:39:09,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,Orange,
2013-12-26 12:39:39,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,dc,
2013-12-26 12:39:40,gender neutral,just men,just men,gender neutral,gender neutral,gender neutral,just men,No,Doncaster,
2013-12-26 12:39:50,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Vancouver,
2013-12-26 12:39:58,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Austin,
2013-12-26 12:40:04,gender neutral,just men,gender neutral,gender neutral,just men,just men,gender neutral,Yes,Seattle,
2013-12-26 12:40:23,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Portland Oregon,
2013-12-26 12:40:52,gender neutral,just men,just men,just men,just men,just men,just men,No,Milwaukee,
2013-12-26 12:41:30,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Nashville,
2013-12-26 12:41:31,gender neutral,just men,just men,just men,gender neutral,gender neutral,gender neutral,Yes,London,
2013-12-26 12:41:42,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,michigan,
2013-12-26 12:41:56,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,canada,
2013-12-26 12:42:19,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Wisconsin,
2013-12-26 12:42:39,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Boston,
2013-12-26 12:42:40,gender neutral,just men,just men,just men,just men,just men,just men,Yes,North Carolina,
2013-12-26 12:42:55,gender neutral,gender neutral,just men,gender neutral,just men,gender neutral,just men,No,New York,
2013-12-26 12:43:00,gender neutral,gender neutral,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,Poland,
2013-12-26 12:43:07,gender neutral,just men,just men,just men,just men,just men,just men,No,Tucson,
2013-12-26 12:43:08,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 12:43:46,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 12:43:56,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 12:44:04,gender neutral,just men,just men,gender neutral,just men,gender neutral,gender neutral,No,Sf,
2013-12-26 12:44:20,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,Cincinnati,
2013-12-26 12:44:28,just men,just men,just men,just men,just men,just men,just men,No,Uk,
2013-12-26 12:44:29,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 12:44:34,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 12:44:49,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Michigan,
2013-12-26 12:44:53,gender neutral,just men,just men,just men,just men,just men,just men,No,Seattle,
2013-12-26 12:44:54,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,,
2013-12-26 12:44:59,just men,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 12:45:01,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Virginia USA,
2013-12-26 12:45:11,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,just men,No,New York,
2013-12-26 12:45:36,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Portland,
2013-12-26 12:45:50,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Canada,
2013-12-26 12:46:50,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Waltham,
2013-12-26 12:47:32,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Philadelphia,
2013-12-26 12:47:39,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,just men,No,Michigan,
2013-12-26 12:47:47,gender neutral,just men,just men,gender neutral,gender neutral,gender neutral,just men,No,,
2013-12-26 12:48:11,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,,
2013-12-26 12:49:15,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Montreal,
2013-12-26 12:49:23,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,No,Finland (non-native speaker),
2013-12-26 12:50:10,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,In neithermalenorfemalesville,
2013-12-26 12:50:28,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Northern CA,
2013-12-26 12:50:48,just men,just men,just men,just men,gender neutral,gender neutral,just men,No,Sweden,
2013-12-26 12:50:51,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Dallas,
2013-12-26 12:50:56,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,London,
2013-12-26 12:51:23,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,Yes,san francisco,
2013-12-26 12:51:42,gender neutral,just men,just men,gender neutral,just men,just men,just men,Yes,seattle,
2013-12-26 12:52:06,gender neutral,just men,just men,just men,just men,just men,just men,Yes,,
2013-12-26 12:52:26,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,Yes,London,
2013-12-26 12:52:31,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,UK,
2013-12-26 12:53:10,gender neutral,just men,just men,just men,just men,just men,just men,No,San Luis obispo,
2013-12-26 12:53:10,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Seattle,
2013-12-26 12:53:15,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Surrey,
2013-12-26 12:54:50,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 12:54:50,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Portland,
2013-12-26 12:55:10,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Berkeley,
2013-12-26 12:55:22,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,Yes,,
2013-12-26 12:55:35,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Seattle,
2013-12-26 12:55:47,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Calgary,
2013-12-26 12:55:48,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Leeds,
2013-12-26 12:55:57,gender neutral,just men,just men,just men,just men,just men,just men,No,Montreal,
2013-12-26 12:56:39,gender neutral,just men,just men,just men,just men,just men,just men,Yes,California,
2013-12-26 12:56:39,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,Yes,Montreal,
2013-12-26 12:56:48,gender neutral,just men,just men,just men,just men,just men,just men,No,Philadelphia,
2013-12-26 12:57:14,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Bay Area,
2013-12-26 12:57:15,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 12:57:23,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Salem,
2013-12-26 12:57:58,gender neutral,just men,just men,just men,just men,just men,just men,No,New York City,
2013-12-26 12:58:28,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,San Francisco,
2013-12-26 12:59:04,gender neutral,just men,just men,just men,just men,just men,just men,No,pittsburgh,
2013-12-26 12:59:33,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,Yes,London,
2013-12-26 12:59:34,just men,gender neutral,just men,just men,just men,gender neutral,just men,No,Slovakia,
2013-12-26 12:59:35,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,massachusetts,
2013-12-26 12:59:36,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,,
2013-12-26 12:59:53,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 12:59:53,gender neutral,just men,gender neutral,just men,just men,gender neutral,just men,No,Denver,
2013-12-26 13:01:09,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,Yes,,
2013-12-26 13:01:15,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Santa Barbara,
2013-12-26 13:01:23,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Southern Ontario,
2013-12-26 13:02:37,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,,
2013-12-26 13:02:53,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Boston,
2013-12-26 13:03:53,gender neutral,just men,just men,just men,gender neutral,just men,just men,Yes,Boston,
2013-12-26 13:03:54,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Leeds ,
2013-12-26 13:03:55,gender neutral,just men,just men,gender neutral,gender neutral,gender neutral,just men,No,California,
2013-12-26 13:04:06,gender neutral,just men,just men,just men,just men,just men,just men,No,Portland,
2013-12-26 13:05:37,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,San Francisco ,
2013-12-26 13:05:46,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Chicago,
2013-12-26 13:05:51,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Seattle,
2013-12-26 13:06:28,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,Richardson,
2013-12-26 13:06:29,gender neutral,gender neutral,just men,gender neutral,gender neutral,gender neutral,just men,No,Witten,
2013-12-26 13:07:17,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 13:07:31,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Ireland,
2013-12-26 13:08:58,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,San Francisco (cheating: my perception is that guy = always man,
2013-12-26 13:09:42,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 13:09:49,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,,
2013-12-26 13:09:52,gender neutral,just men,just men,just men,just men,gender neutral,just men,No, reno nv,
2013-12-26 13:10:19,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,No,,
2013-12-26 13:10:59,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,palo alto,
2013-12-26 13:11:14,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,No,London UK,
2013-12-26 13:11:38,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,SF,
2013-12-26 13:12:17,just men,just men,just men,just men,just men,just men,just men,No,oakland,
2013-12-26 13:13:54,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Australia,
2013-12-26 13:13:55,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Maryland,
2013-12-26 13:14:10,gender neutral,gender neutral,just men,just men,gender neutral,gender neutral,just men,Yes,Ireland,
2013-12-26 13:14:25,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,New York,
2013-12-26 13:15:21,gender neutral,just men,just men,just men,just men,just men,just men,No,Alabama,
2013-12-26 13:17:10,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,New York,
2013-12-26 13:17:32,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 13:17:36,gender neutral,just men,just men,gender neutral,gender neutral,gender neutral,just men,No,SF bay area,
2013-12-26 13:18:26,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,Helsinki,
2013-12-26 13:18:38,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,Yes,Montreal,
2013-12-26 13:19:19,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,Stockholm,
2013-12-26 13:19:52,gender neutral,just men,just men,just men,just men,just men,just men,No,London,
2013-12-26 13:20:01,gender neutral,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 13:20:14,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,Yes,uk,
2013-12-26 13:21:16,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Vancouver,
2013-12-26 13:21:39,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 13:22:32,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,UK ,
2013-12-26 13:22:55,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,New Hampshire,
2013-12-26 13:23:28,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 13:23:30,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Minneapolis,
2013-12-26 13:25:36,gender neutral,just men,just men,gender neutral,just men,just men,just men,No,Atlanta,
2013-12-26 13:25:59,gender neutral,gender neutral,gender neutral,gender neutral,just men,gender neutral,just men,No,Denver,
2013-12-26 13:26:14,gender neutral,just men,just men,just men,just men,just men,just men,No,San Francisco,
2013-12-26 13:26:28,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Boston,
2013-12-26 13:27:18,just men,just men,just men,just men,just men,just men,just men,No,Mountain View,
2013-12-26 13:27:23,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Montreal,
2013-12-26 13:27:47,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,just men,No,,
2013-12-26 13:29:16,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Philadelphia ,
2013-12-26 13:29:18,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,NYC,
2013-12-26 13:30:31,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,,
2013-12-26 13:31:52,gender neutral,just men,just men,just men,just men,just men,just men,No,Boston USA,
2013-12-26 13:31:57,gender neutral,just men,just men,just men,,gender neutral,just men,No,Oklahoma,
2013-12-26 13:32:02,just men,just men,just men,just men,just men,just men,just men,No,Brazil,
2013-12-26 13:33:20,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Ireland,
